sno,filename,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20
53,Script_8MM.txt,1.51E-05,1.51E-05,0.186805052,7.55E-05,0.000196398,1.51E-05,0.000377689,1.51E-05,1.51E-05,0.205901015,0.00061941,0.27110527,7.55E-05,0.000135968,1.51E-05,1.51E-05,1.51E-05,0.334496616,1.51E-05,7.55E-05
54,Script_12_Monkeys.txt,0.000275527,0.000534846,0.284878444,8.10E-05,0.275931929,0.000145867,0.000664506,0.001701783,8.10E-05,0.201183144,8.10E-05,0.000275527,0.000145867,8.10E-05,0.001312804,1.62E-05,0.000145867,0.232366288,8.10E-05,1.62E-05
55,Script_American_President_The.txt,0.00345067,0.417041,0.072790755,0.007370957,0.000102091,0.000183763,0.000428781,0.002715616,0.000592127,0.331693074,0.000592127,0.005574159,0.000102091,2.04E-05,0.000755472,0.003695688,0.001408853,0.151441522,2.04E-05,2.04E-05
56,Script_American_The.txt,2.13E-05,2.13E-05,0.271967506,0.000616706,2.13E-05,0.001467336,0.001892651,0.000191392,0.000106329,0.154495577,0.00274328,2.13E-05,0.00129721,0.000361518,0.003423784,2.13E-05,2.13E-05,0.21982392,2.13E-05,0.341463933
57,Script_Agnes_of_God.txt,0.006837945,3.95E-05,0.10027668,0.000355731,0.442252964,0.000988142,3.95E-05,3.95E-05,0.006996047,0.353873518,0.001304348,0.000355731,3.95E-05,3.95E-05,3.95E-05,3.95E-05,3.95E-05,0.084150198,0.002252964,3.95E-05
58,Script_Abyss_The.txt,1.66E-05,1.66E-05,0.396492686,0.000880984,8.31E-05,0.036186835,1.66E-05,0.008527261,0.004936835,0.113713431,0.000149601,8.31E-05,0.000681516,0.365641622,0.004338431,0.003806516,1.66E-05,0.057463431,0.00646609,0.000482048
59,Script_Antitrust.txt,0.002634916,0.000336794,0.172299707,0.001050004,1.98E-05,0.000178303,0.000653776,1.98E-05,0.000733022,0.220164038,0.358368333,0.002793407,0.000257548,0.000495285,0.003110389,0.000416039,1.98E-05,0.2360924,1.98E-05,0.000336794
60,Script_Alien_Nation.txt,0.015296327,2.09E-05,0.27013773,0.002358097,0.003526711,0.015546745,2.09E-05,0.001606845,0.005363105,0.15077212,0.000688648,0.00043823,0.001690317,0.003860601,0.015713689,0.001606845,2.09E-05,0.166131052,0.345179466,2.09E-05
61,Script_Alien_vs._Predator.txt,0.000448189,0.000950161,0.472373611,1.79E-05,0.000448189,0.00317318,8.96E-05,0.001165292,0.001237003,0.055951954,0.000161348,0.001738975,1.79E-05,0.377429186,0.001954105,0.000878451,1.79E-05,0.052079598,0.029777698,8.96E-05
62,Script_American_Gangster.txt,0.000980527,0.003044795,0.144722356,0.006003578,0.322318172,1.72E-05,0.000223629,0.00015482,0.001049336,0.21057249,0.000980527,0.00015482,0.000980527,1.72E-05,0.001255763,0.001186954,0.004283355,0.302019542,1.72E-05,1.72E-05
